split,Rule_Index,trades,wins,losses,win_rate_pct,net_pnl,avg_pnl,profit_factor,tp_exits,sl_exits,time_exits
train,210,11,7,4,63.63636363636363,44.19314618053925,4.017558743685386,2.7832139643449922,6,4,1
train,211,10,5,5,50.0,28.023326160617124,2.8023326160617126,2.4589591296303714,5,5,0
train,212,5,4,1,80.0,14.161418089000582,2.8322836178001163,6.2680897718120026,4,1,0
train,213,8,5,3,62.5,62.711361964538014,7.838920245567252,6.583882185187793,5,3,0
train,214,22,10,12,45.45454545454545,-23.925513372946387,-1.0875233351339266,0.8175472149116461,8,12,2
train,215,5,1,4,20.0,-13.100625457356173,-2.620125091471235,0.25690885148149933,1,4,0
train,216,4,1,3,25.0,-3.6218767999010026,-0.9054691999752507,0.44272375768363825,1,3,0
train,217,8,6,2,75.0,59.54296476945033,7.442870596181291,13.431574715668056,5,2,1
train,218,3,1,2,33.33333333333333,7.3431551608168615,2.447718386938954,3.3372227552187543,1,2,0
train,219,15,6,9,40.0,21.841241725377998,1.4560827816918664,1.5392536918808433,5,9,1
train,220,29,15,14,51.724137931034484,104.33882972356055,3.5978906801227777,3.407683381942869,15,14,0
train,221,40,28,12,70.0,6.279739393974012,0.1569934848493503,1.0708842972618233,25,11,4
train,222,28,11,17,39.285714285714285,22.472252076517208,0.802580431304186,1.2565392192024556,11,16,1
train,223,12,6,6,50.0,4.408859003432135,0.3674049169526779,1.097186456594728,2,6,4
train,224,26,11,15,42.30769230769231,28.102213254736427,1.080854355951401,1.4020960824356112,7,14,5
train,225,7,5,2,71.42857142857143,28.30938745448374,4.044198207783391,2.8202647340274396,4,1,2
train,226,27,14,13,51.85185185185185,6.4385311290752405,0.23846411589167557,1.104653319957794,4,3,20
train,227,6,4,2,66.66666666666666,21.374490611230065,3.5624151018716774,5.35667648618639,4,1,1
train,228,3,1,2,33.33333333333333,7.516170412142216,2.5053901373807386,2.2307715167333693,1,2,0
train,229,11,4,7,36.36363636363637,9.771069658048296,0.8882790598225724,1.5571316059785498,4,7,0
train,230,10,9,1,90.0,75.41590315265576,7.541590315265576,14.270361037898686,8,1,1
train,231,2,2,0,100.0,14.271855525047403,7.135927762523702,inf,2,0,0
train,232,5,2,3,40.0,-5.64187071567844,-1.128374143135688,0.8226886296223054,2,3,0
train,233,19,8,11,42.10526315789473,23.76311837456303,1.2506904407664754,1.4874310809276337,7,11,1
train,234,12,5,7,41.66666666666667,18.09622371668827,1.508018643057356,1.4575174309617787,4,7,1
train,235,15,9,6,60.0,52.82474486894907,3.5216496579299377,3.053709708977618,8,6,1
train,236,8,5,3,62.5,36.065149087398844,4.5081436359248555,2.316512237636943,4,3,1
train,237,12,8,4,66.66666666666666,-1.9695780133022183,-0.16413150110851818,0.9477270610982265,2,3,7
train,238,5,2,3,40.0,27.60951882604094,5.521903765208188,2.399107748754877,2,3,0
train,239,1,0,1,0.0,-3.576361218656728,-3.576361218656728,0.0,0,1,0
train,240,0,0,0,0.0,0.0,0.0,0.0,0,0,0
train,241,6,2,4,33.33333333333333,26.47906730459869,4.413177884099782,5.160291457235253,2,4,0
train,242,1,0,1,0.0,-9.409096145374386,-9.409096145374386,0.0,0,1,0
