Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
2498,short,66,3.5,1.0,2,2025-07-28 23:25:00,1655931,165593,25.03,1658811,2025-07-29 23:25:00,SL,-1.0,3680.246358634255,12.5,0.002,460.0307948292819,453.09914046219,453.09914046219,3227.147218172065,1.1368683772161603e-13,453.09914046219,-4.5309914046219,0.90619828092438,-5.437189685546279,3686.4637060188184,3681.026516333272,268.1026516333272,3708.9912694430113,0.7539719314016858,ACTIVE,True
2499,short,80,2.0,1.75,6,2025-07-30 03:10:00,1659265,165926,3.903,1662145,2025-07-31 03:10:00,TP,2.0,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,-7.389644451905042e-13,1.1368683772161603e-13,3681.026516333273,9.20256629083318,0.920256629083318,8.282309661749863,3681.026516333272,3689.308825995022,268.9308825995022,3708.9912694430113,0.5306683682473392,ACTIVE,True
2500,short,5,2.5,1.0,1,2025-07-30 14:25:00,1660610,166061,0.7639,1663490,2025-07-31 14:25:00,TP,2.5,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,460.12831454165826,6.252776074688882e-13,3220.8982017916137,11.503207863541476,0.920256629083318,10.582951234458159,3689.308825995022,3699.89177722948,269.989177722948,3708.9912694430113,0.24533603755012184,ACTIVE,True
2501,short,5,2.5,1.0,6,2025-07-30 14:25:00,1660615,166061,3.786,1663495,2025-07-31 14:25:00,TP,2.5,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,920.2566290833172,460.1283145416591,2760.769887249955,11.503207863541476,0.920256629083318,10.582951234458159,3699.89177722948,3710.474728463938,271.0474728463938,3710.474728463938,0.0,ACTIVE,True
2502,short,5,2.5,1.0,6,2025-07-30 14:30:00,1660625,166062,3.791,1663505,2025-07-31 14:30:00,TP,2.5,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,1380.3849436249761,920.2566290833181,2300.641572708296,11.503207863541476,0.920256629083318,10.582951234458159,3710.474728463938,3721.057679698396,272.1057679698396,3721.057679698396,0.0,ACTIVE,True
2503,short,5,2.5,1.0,6,2025-07-30 14:35:00,1660635,166063,3.797,1663515,2025-07-31 14:35:00,TP,2.5,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,1840.513258166635,1380.384943624977,1840.513258166637,11.503207863541476,0.920256629083318,10.582951234458159,3721.057679698396,3731.640630932854,273.1640630932854,3731.640630932854,0.0,ACTIVE,True
2504,short,5,2.5,1.0,6,2025-07-30 14:40:00,1660645,166064,3.802,1663525,2025-07-31 14:40:00,TP,2.5,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,2300.641572708294,1840.513258166636,1380.384943624978,11.503207863541476,0.920256629083318,10.582951234458159,3731.640630932854,3742.223582167312,274.2223582167312,3742.223582167312,0.0,ACTIVE,True
2505,short,52,2.5,2.0,9,2025-07-30 14:40:00,1660648,166064,0.3269,1663528,2025-07-31 14:40:00,Time_288,0.12236157846436568,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,2760.769887249953,3.410605131648481e-13,920.2566290833188,0.5630202686346554,0.920256629083318,-0.3572363604486626,3742.223582167312,3741.8663458068636,274.18663458068636,3742.223582167312,0.009546098799409588,ACTIVE,True
2506,short,5,2.5,1.0,6,2025-07-30 14:45:00,1660655,166065,3.814,1663535,2025-07-31 14:45:00,TP,2.5,3681.026516333272,12.5,0.002,460.128314541659,460.128314541659,460.128314541659,3220.8982017916123,2300.641572708295,460.1283145416596,11.503207863541476,0.920256629083318,10.582951234458159,3741.8663458068636,3752.4492970413216,275.2449297041322,3752.4492970413216,0.0,ACTIVE,True
2507,short,5,2.5,1.0,3,2025-07-31 16:50:00,1663782,166378,810.34,1666662,2025-08-01 16:50:00,TP,2.5,3752.4492970413216,12.5,0.002,469.0561621301652,469.0561621301652,469.0561621301652,-7.958078640513122e-13,1.1368683772161603e-13,3752.4492970413226,11.72640405325413,0.9381123242603304,10.7882917289938,3752.4492970413216,3763.2375887703156,276.3237588770316,3763.2375887703156,0.0,ACTIVE,True
2508,short,5,2.5,1.0,3,2025-07-31 16:55:00,1663792,166379,813.3,1666672,2025-08-01 16:55:00,TP,2.5,3752.4492970413216,12.5,0.002,469.0561621301652,469.0561621301652,469.0561621301652,469.0561621301644,469.0561621301653,3283.393134911157,11.72640405325413,0.9381123242603304,10.7882917289938,3763.2375887703156,3774.0258804993096,277.40258804993096,3774.0258804993096,0.0,ACTIVE,True
2509,short,5,2.5,1.0,3,2025-07-31 17:00:00,1663802,166380,809.12,1666682,2025-08-01 17:00:00,TP,2.5,3752.4492970413216,12.5,0.002,469.0561621301652,469.0561621301652,469.0561621301652,938.1123242603296,938.1123242603305,2814.3369727809923,11.72640405325413,0.9381123242603304,10.7882917289938,3774.0258804993096,3784.8141722283035,278.4814172228304,3784.8141722283035,0.0,ACTIVE,True
2510,short,85,2.0,1.0,10,2025-07-31 17:05:00,1663819,166381,3.108,1666699,2025-08-01 17:05:00,TP,2.0,3752.4492970413216,12.5,0.002,469.0561621301652,469.0561621301652,469.0561621301652,1407.1684863904948,0.0,2345.280810650827,9.381123242603305,0.9381123242603304,8.443010918342974,3784.8141722283035,3793.2571831466466,279.3257183146647,3793.2571831466466,0.0,ACTIVE,True
