datetime,symbol,open,high,low,close,volume,ff_donchian_width_20,ff_ema_spread_21_55,ff_relative_volume_20,ff_volume_regime_20,ff_bollinger_width_20,ff_volume_oscillator_5_20,ff_ema_stack_8_21_55,ff_volume_trailing_rank_50,ff_kama_distance_10,ff_roc_16,ff_ema_spread_8_21,ff_support_distance_20,ff_cvd_proxy_10,ff_rsi_7_level,ff_channel_midpoint_bias_20,ff_price_vs_ema_20,ff_rsi_14_midline_cross,ff_roc_8
2025-01-04 11:30:00,BTCUSDT,97758.89,97849.1,97758.88,97839.75,54.46528,1,-2,2,-1,1,-4,-1,0,2,-1,-4,5,-1,0,0,-1,0,1
2025-01-04 11:30:00,ETHUSDT,3588.3,3596.33,3587.14,3594.53,760.8337,1,2,1,-1,1,-5,0,0,1,-1,-2,5,-2,0,0,1,1,1
2025-01-04 11:45:00,BTCUSDT,97839.76,97923.07,97832.0,97889.39,85.40942,1,-2,2,0,1,-4,-1,3,4,-1,-4,5,-1,0,0,0,0,1
2025-01-04 11:45:00,ETHUSDT,3594.53,3605.57,3592.98,3602.01,3008.8731,1,3,4,1,1,-3,1,4,5,1,1,5,-1,1,1,1,1,1
2025-01-04 12:00:00,BTCUSDT,97889.4,97927.57,97804.0,97840.0,72.55802,1,-2,2,-1,1,-4,-1,2,2,-1,-3,5,-1,0,0,-1,0,1
2025-01-04 12:00:00,ETHUSDT,3602.01,3609.0,3600.62,3608.37,2124.3307,1,3,3,1,1,-1,1,3,5,1,2,5,1,1,2,1,1,1
2025-01-04 12:15:00,BTCUSDT,97840.0,98016.97,97800.0,97921.89,113.96983,1,-2,3,0,1,-2,-1,4,4,-1,-2,5,2,0,0,0,0,1
2025-01-04 12:15:00,ETHUSDT,3608.37,3644.4,3606.98,3635.97,9688.3387,1,4,4,1,1,5,1,4,5,1,4,5,3,1,2,1,1,1
2025-01-04 12:30:00,BTCUSDT,97921.9,97993.49,97867.43,97867.43,89.34402,1,-2,2,0,1,-2,-1,3,2,-1,-2,5,1,0,0,0,0,1
2025-01-04 12:30:00,ETHUSDT,3635.97,3643.71,3626.79,3627.98,3981.293,1,4,4,1,1,5,1,4,5,1,5,5,3,1,1,1,1,1
2025-01-04 12:45:00,BTCUSDT,97867.43,97897.98,97801.49,97888.12,60.92505,1,-2,2,-1,1,-2,-1,1,3,-1,-2,5,1,0,0,0,0,1
2025-01-04 12:45:00,ETHUSDT,3627.99,3638.71,3622.52,3635.52,3915.6108,1,5,4,1,1,5,1,4,5,1,5,5,4,1,2,1,1,1
2025-01-04 13:00:00,BTCUSDT,97888.12,97967.35,97860.0,97896.0,81.58543,1,-2,2,0,1,-2,-1,2,3,1,-2,5,1,0,0,0,0,1
2025-01-04 13:00:00,ETHUSDT,3635.53,3647.59,3626.32,3644.14,3873.3474,1,5,4,1,1,5,1,4,5,1,5,5,4,1,2,1,1,1
2025-01-04 13:15:00,BTCUSDT,97896.01,97928.48,97770.74,97849.51,104.15238,1,-2,3,0,1,-1,-1,4,1,-1,-2,5,-1,0,0,0,0,1
2025-01-04 13:15:00,ETHUSDT,3644.22,3649.04,3634.18,3638.49,4122.4919,1,5,4,1,1,5,1,4,5,1,5,5,3,1,2,1,1,1
2025-01-04 13:30:00,BTCUSDT,97849.51,97876.32,97750.0,97876.31,136.11297,1,-2,3,1,1,-1,-1,4,2,1,-1,5,2,0,0,0,0,1
2025-01-04 13:30:00,ETHUSDT,3638.49,3639.8,3629.75,3637.67,3113.6099,1,5,3,1,1,5,1,4,5,1,5,5,2,1,2,1,1,1
2025-01-04 13:45:00,BTCUSDT,97876.32,98068.46,97876.32,97973.05,141.34976,1,-2,3,1,1,1,-1,4,5,1,-1,5,3,0,1,1,1,1
2025-01-04 13:45:00,ETHUSDT,3637.68,3649.66,3637.67,3644.0,4085.9473,1,5,4,1,2,5,1,4,5,1,5,5,3,1,2,1,1,1
2025-01-04 14:00:00,BTCUSDT,97973.05,97980.0,97858.14,97867.13,71.97678,1,-2,2,-1,1,1,-1,2,1,1,-1,5,2,0,0,0,0,1
2025-01-04 14:00:00,ETHUSDT,3644.0,3647.03,3635.13,3636.15,4428.915,1,5,4,1,2,5,1,4,2,1,5,5,2,0,2,1,1,1
2025-01-04 14:15:00,BTCUSDT,97867.13,98013.32,97828.38,98000.0,100.86812,1,-2,3,0,1,2,0,3,5,1,1,5,2,0,2,1,1,1
2025-01-04 14:15:00,ETHUSDT,3636.16,3644.0,3634.2,3639.61,2105.183,1,5,2,-1,2,3,1,3,4,1,5,5,2,0,2,1,1,1
2025-01-04 14:30:00,BTCUSDT,98000.01,98080.15,97940.64,98059.98,98.36556,1,-1,2,0,1,2,0,3,5,1,1,5,3,1,2,1,1,1
2025-01-04 14:30:00,ETHUSDT,3639.6,3643.69,3635.97,3637.79,2166.762,1,5,2,-1,2,2,1,3,3,1,5,5,1,0,2,1,1,1
2025-01-04 14:45:00,BTCUSDT,98059.99,98059.99,97999.89,98035.04,58.23114,1,-1,2,-1,1,1,0,1,5,1,2,5,2,0,2,1,1,1
