Trade_Number,Direction,Rule_Index,Rule_TP,Rule_SL,Symbol,Entry_Time,Entry_Index,Symbol_Bar_Index,Entry_Price,Release_Index,Close_Time,Exit_Reason,Price_Return_Pct,Equity_Before_Entry,Capital_Pct,Round_Trip_Fee_Rate,Target_Position_Notional,Position_Notional,Margin_Used,Open_Total_Exposure_Before,Open_Symbol_Exposure_Before,Remaining_Total_Capacity,Gross_PnL,Fee,Net_PnL,Equity_Before_Close,Equity_After,Account_Return_Pct,High_Water_Mark,Drawdown_Pct,Account_Status,Realized
199,short,4,2.5,1.25,5,2024-06-24 04:35:00,504554,50455,0.12084,507434,2024-06-25 04:35:00,TP,2.5,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,713.7569122297857,0.0,428.2541473378717,3.5687845611489295,0.28550276489191434,3.283281796257015,1158.427468548942,1161.710750345199,16.171075034519887,1161.710750345199,0.0,ACTIVE,True
200,short,11,3.0,1.75,2,2024-06-24 07:05:00,504851,50485,24.36,507731,2024-06-25 07:05:00,TP,3.0,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,856.508294675743,0.0,285.50276489191447,4.282541473378715,0.28550276489191434,3.9970387084868007,1161.710750345199,1165.7077890536857,16.570778905368577,1165.7077890536857,0.0,ACTIVE,True
201,short,12,2.5,2.0,1,2024-06-24 09:50:00,505180,50518,0.3736,508060,2024-06-25 09:50:00,TP,2.5,1142.0110595676574,12.5,0.002,142.75138244595718,142.75138244595718,142.75138244595718,999.2596771217002,142.75138244595718,142.75138244595723,3.5687845611489295,0.28550276489191434,3.283281796257015,1165.7077890536857,1168.9910708499426,16.89910708499427,1168.9910708499426,0.0,ACTIVE,True
202,short,3,2.5,1.25,4,2024-06-25 04:50:00,507463,50746,61344.0,510343,2024-06-26 04:50:00,SL,-1.25,1161.710750345199,12.5,0.002,145.21384379314986,145.21384379314986,145.21384379314986,285.5027648919141,0.0,876.2079854532848,-1.8151730474143735,0.2904276875862997,-2.105600735000673,1168.9910708499426,1166.8854701149419,16.68854701149418,1168.9910708499426,0.18012119916962308,ACTIVE,True
203,short,4,2.5,1.25,7,2024-06-28 20:00:00,517926,51792,3384.7,520806,2024-06-29 20:00:00,Time_288,0.043430732413501934,1166.8854701149419,12.5,0.002,145.86068376436774,145.86068376436774,145.86068376436774,-2.2737367544323206e-13,0.0,1166.885470114942,0.0633483632622068,0.29172136752873545,-0.22837300426652865,1166.8854701149419,1166.6570971106753,16.665709711067535,1168.9910708499426,0.19965710581265184,ACTIVE,True
204,short,8,2.5,1.75,2,2024-06-30 08:55:00,522351,52235,28.35,525231,2024-07-01 08:55:00,SL,-1.75,1166.6570971106753,12.5,0.002,145.8321371388344,145.8321371388344,145.8321371388344,-2.2737367544323206e-13,0.0,1166.6570971106755,-2.5520623999296026,0.29166427427766883,-2.8437266742072715,1166.6570971106753,1163.813370436468,16.381337043646795,1168.9910708499426,0.44292044161723987,ACTIVE,True
205,short,8,2.5,1.75,1,2024-07-01 00:20:00,524200,52420,0.3938,527080,2024-07-02 00:20:00,SL,-1.75,1166.6570971106753,12.5,0.002,145.8321371388344,145.8321371388344,145.8321371388344,145.83213713883418,0.0,1020.824959971841,-2.5520623999296026,0.29166427427766883,-2.8437266742072715,1163.813370436468,1160.9696437622606,16.096964376226055,1168.9910708499426,0.686183777421828,ACTIVE,True
206,short,8,2.5,1.75,2,2024-07-01 00:25:00,524211,52421,29.5,527091,2024-07-02 00:25:00,SL,-1.75,1166.6570971106753,12.5,0.002,145.8321371388344,145.8321371388344,145.8321371388344,291.6642742776686,145.8321371388344,874.9928228330067,-2.5520623999296026,0.29166427427766883,-2.8437266742072715,1160.9696437622606,1158.1259170880533,15.812591708805336,1168.9910708499426,0.929447113226416,ACTIVE,True
207,short,6,3.5,2.0,6,2024-07-03 11:20:00,531285,53128,6.145,534165,2024-07-04 11:20:00,TP,3.5,1158.1259170880533,12.5,0.002,144.76573963600666,144.76573963600666,144.76573963600666,-2.2737367544323206e-13,0.0,1158.1259170880535,5.066800887260234,0.28953147927201334,4.7772694079882205,1158.1259170880533,1162.9031864960414,16.29031864960413,1168.9910708499426,0.520781082568484,ACTIVE,True
208,short,6,3.5,2.0,6,2024-07-03 11:25:00,531295,53129,6.115,534175,2024-07-04 11:25:00,TP,3.5,1158.1259170880533,12.5,0.002,144.76573963600666,144.76573963600666,144.76573963600666,144.76573963600643,144.76573963600666,1013.3601774520469,5.066800887260234,0.28953147927201334,4.7772694079882205,1162.9031864960414,1167.6804559040295,16.76804559040295,1168.9910708499426,0.11211505191055195,ACTIVE,True
209,short,4,2.5,1.25,7,2024-07-03 19:45:00,532296,53229,3278.32,535176,2024-07-04 19:45:00,TP,2.5,1158.1259170880533,12.5,0.002,144.76573963600666,144.76573963600666,144.76573963600666,289.5314792720131,0.0,868.5944378160402,3.6191434909001665,0.28953147927201334,3.329612011628153,1167.6804559040295,1171.0100679156576,17.101006791565766,1171.0100679156576,0.0,ACTIVE,True
